"filename", "language", "Properties", "Batch", "PowerShell", "Python", "XML", "comment", "blank", "total"
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\pyvenv.cfg", "Properties", -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\_distutils_hack\__init__.py", "Python", 0, 0, 0, -93, 0, -3, -33, -129
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\_distutils_hack\override.py", "Python", 0, 0, 0, -1, 0, 0, -1, -2
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\__init__.py", "Python", 0, 0, 0, -8, 0, 0, -6, -14
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\__main__.py", "Python", 0, 0, 0, -10, 0, -10, -5, -25
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\__pip-runner__.py", "Python", 0, 0, 0, -29, 0, -4, -18, -51
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\__init__.py", "Python", 0, 0, 0, -10, 0, -2, -7, -19
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\build_env.py", "Python", 0, 0, 0, -252, 0, -15, -45, -312
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cache.py", "Python", 0, 0, 0, -221, 0, -19, -51, -291
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\__init__.py", "Python", 0, 0, 0, -2, 0, -1, -2, -5
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\autocompletion.py", "Python", 0, 0, 0, -135, 0, -19, -19, -173
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\base_command.py", "Python", 0, 0, 0, -175, 0, -22, -40, -237
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\cmdoptions.py", "Python", 0, 0, 0, -883, 0, -38, -154, -1075
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\command_context.py", "Python", 0, 0, 0, -20, 0, 0, -8, -28
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\main.py", "Python", 0, 0, 0, -34, 0, -30, -16, -80
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\main_parser.py", "Python", 0, 0, 0, -82, 0, -24, -29, -135
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\parser.py", "Python", 0, 0, 0, -222, 0, -20, -53, -295
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\progress_bars.py", "Python", 0, 0, 0, -58, 0, 0, -11, -69
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\req_command.py", "Python", 0, 0, 0, -408, 0, -29, -69, -506
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\spinners.py", "Python", 0, 0, 0, -114, 0, -18, -28, -160
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\status_codes.py", "Python", 0, 0, 0, -6, 0, 0, -1, -7
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\__init__.py", "Python", 0, 0, 0, -113, 0, -7, -13, -133
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\cache.py", "Python", 0, 0, 0, -163, 0, -20, -43, -226
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\check.py", "Python", 0, 0, 0, -45, 0, 0, -10, -55
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\completion.py", "Python", 0, 0, 0, -116, 0, -5, -10, -131
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\configuration.py", "Python", 0, 0, 0, -224, 0, -12, -45, -281
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\debug.py", "Python", 0, 0, 0, -149, 0, -9, -44, -202
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\download.py", "Python", 0, 0, 0, -117, 0, -2, -29, -148
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\freeze.py", "Python", 0, 0, 0, -91, 0, 0, -18, -109
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\hash.py", "Python", 0, 0, 0, -48, 0, 0, -12, -60
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\help.py", "Python", 0, 0, 0, -29, 0, -1, -12, -42
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\index.py", "Python", 0, 0, 0, -108, 0, -4, -28, -140
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\inspect.py", "Python", 0, 0, 0, -77, 0, -6, -10, -93
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\install.py", "Python", 0, 0, 0, -646, 0, -36, -93, -775
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\list.py", "Python", 0, 0, 0, -299, 0, -13, -57, -369
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\search.py", "Python", 0, 0, 0, -142, 0, -2, -31, -175
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\show.py", "Python", 0, 0, 0, -162, 0, 0, -28, -190
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\uninstall.py", "Python", 0, 0, 0, -99, 0, 0, -15, -114
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\wheel.py", "Python", 0, 0, 0, -151, 0, -2, -31, -184
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\configuration.py", "Python", 0, 0, 0, -279, 0, -33, -72, -384
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\distributions\__init__.py", "Python", 0, 0, 0, -13, 0, -4, -5, -22
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\distributions\base.py", "Python", 0, 0, 0, -38, 0, 0, -14, -52
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\distributions\installed.py", "Python", 0, 0, 0, -22, 0, 0, -8, -30
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\distributions\sdist.py", "Python", 0, 0, 0, -122, 0, -18, -17, -157
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\distributions\wheel.py", "Python", 0, 0, 0, -32, 0, 0, -9, -41
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\exceptions.py", "Python", 0, 0, 0, -546, 0, -23, -160, -729
