Date : 2024-09-25 13:20:08
Directory : c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app
Total : 2238 files,  -686215 codes, -44464 comments, -103319 blanks, all -833998 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\command\register.py                            | Python     |        -12 |          0 |         -7 |        -19 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\command\rotate.py                              | Python     |        -54 |          0 |        -11 |        -65 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\command\saveopts.py                            | Python     |        -14 |          0 |         -9 |        -23 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\command\sdist.py                               | Python     |       -183 |        -11 |        -42 |       -236 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\command\setopt.py                              | Python     |       -125 |          0 |        -24 |       -149 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\command\test.py                                | Python     |       -219 |         -9 |        -47 |       -275 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\command\upload.py                              | Python     |        -12 |          0 |         -6 |        -18 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\command\upload_docs.py                         | Python     |       -169 |         -9 |        -25 |       -203 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\config.py                                      | Python     |       -538 |        -10 |       -163 |       -711 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\dep_util.py                                    | Python     |        -17 |         -4 |         -5 |        -26 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\depends.py                                     | Python     |       -129 |         -3 |        -44 |       -176 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\dist.py                                        | Python     |       -828 |        -45 |       -185 |     -1,058 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\errors.py                                      | Python     |        -11 |          0 |         -6 |        -17 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\extension.py                                   | Python     |        -38 |         -5 |        -13 |        -56 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\extern\__init__.py                             | Python     |        -61 |          0 |        -13 |        -74 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\glob.py                                        | Python     |       -118 |        -14 |        -36 |       -168 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\installer.py                                   | Python     |        -80 |         -9 |         -9 |        -98 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\launch.py                                      | Python     |        -27 |         -2 |         -8 |        -37 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\lib2to3_ex.py                                  | Python     |        -54 |         -2 |        -13 |        -69 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\monkey.py                                      | Python     |       -124 |        -14 |        -40 |       -178 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\msvc.py                                        | Python     |     -1,466 |        -64 |       -297 |     -1,827 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\namespaces.py                                  | Python     |        -86 |         -1 |        -21 |       -108 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\package_index.py                               | Python     |       -902 |        -63 |       -181 |     -1,146 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\py34compat.py                                  | Python     |        -10 |          0 |         -4 |        -14 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\sandbox.py                                     | Python     |       -384 |         -9 |       -104 |       -497 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\ssl_support.py                                 | Python     |       -189 |        -31 |        -47 |       -267 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\unicode_utils.py                               | Python     |        -32 |         -1 |        -10 |        -43 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\version.py                                     | Python     |         -5 |          0 |         -2 |         -7 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\wheel.py                                       | Python     |       -178 |        -13 |        -23 |       -214 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Lib\site-packages\setuptools\windows_support.py                             | Python     |        -21 |          0 |         -9 |        -30 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Scripts\Activate.ps1                                                        | PowerShell |       -104 |       -105 |        -33 |       -242 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Scripts\activate.bat                                                        | Batch      |        -23 |         -1 |        -10 |        -34 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\Scripts\deactivate.bat                                                      | Batch      |        -15 |          0 |         -7 |        -22 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_test\pyvenv.cfg                                                                  | Properties |         -3 |          0 |         -1 |         -4 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\_distutils_hack\__init__.py                                | Python     |        -93 |         -3 |        -33 |       -129 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\_distutils_hack\override.py                                | Python     |         -1 |          0 |         -1 |         -2 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\__init__.py                                            | Python     |         -8 |          0 |         -6 |        -14 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\__main__.py                                            | Python     |        -10 |        -10 |         -5 |        -25 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\__pip-runner__.py                                      | Python     |        -29 |         -4 |        -18 |        -51 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\__init__.py                                  | Python     |        -10 |         -2 |         -7 |        -19 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\build_env.py                                 | Python     |       -252 |        -15 |        -45 |       -312 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cache.py                                     | Python     |       -221 |        -19 |        -51 |       -291 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\__init__.py                              | Python     |         -2 |         -1 |         -2 |         -5 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\autocompletion.py                        | Python     |       -135 |        -19 |        -19 |       -173 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\base_command.py                          | Python     |       -175 |        -22 |        -40 |       -237 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\cmdoptions.py                            | Python     |       -883 |        -38 |       -154 |     -1,075 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\cli\command_context.py                       | Python     |        -20 |          0 |         -8 |        -28 |
